,plot
3126,"Centuries ago, the evil Emperor Han was cursed by the sorceress Zi Yuan who transformed him and his army into mummies. In 1946, the explorer Rick O'Connell and his wife Evelyn O'Connell are invited by the British government to take a relic, the diamond ""The Eye of Shangri-La"" to China. The ancient stone is capable of resurrecting the Emperor Han and of pointing the way to Shangri-La and the eternal pool of life. When the couple reaches China, they meet their son Alex O'Connell, who has discovered the tomb of Han, and Evelyn's brother Jonathan Carnahan. The O'Connells are betrayed by their friend Prof. Roger Wilson, who is associated with General Yang. Yang wants to serve Emperor Han, so he resurrects the mummy and they head for Shangri-La. The guardian of Han's tomb (and Zi's daughter) Lin tells them that the only ways to destroy Han are to prevent him from reaching Shangri-La or by stabbing his heart with a cursed dagger."
3127,"The powerful superhero John Hancock has become a joke because of his alcoholism and clumsiness. He has also become the most hated man in Los Angeles. Though he has saved many lives, he also destroyed a lot of property, costing the city millions every time he goes into action. When he saves the life of PR expert Ray Embrey from an oncoming train, the executive is thankful and believes he can restore Hancock's image as a true superhero. He brings the anti-hero home for dinner and introduces him to his son Aaron, a big fan, and to his wife, Mary. But for some mysterious reason Mary doesn't want Hancock anywhere near her or her family."
3128,"Roger Ferris is a CIA operative in the Middle East; Ed Hoffman is his control at Langley. Cynicism is everywhere. In Amman, Roger works with Hani Salaam, Jordan's head of security, whose only dictum is ""Don't lie to me."" The Americans are in pursuit of a cleric who leads a group placing bombs all over Europe. When Hani rebukes Ed's demand that Jordan allow the Americans to use one of Jordan's double agents, Roger and Ed hatch a plan to bring the cleric to them. The plan is complicated by its being a secret from Hani and by Roger's attraction to a local nurse. Satellites and cell phones, bodies and lies: modern warfare."
3129,"It's the story about a lazy, irreverent slacker panda, named Po, who is the biggest fan of Kung Fu around...which doesn't exactly come in handy while working every day in his family's noodle shop. Unexpectedly chosen to fulfill an ancient prophecy, Po's dreams become reality when he joins the world of Kung Fu and studies alongside his idols, the legendary Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- under the leadership of their guru, Master Shifu. But before they know it, the vengeful and treacherous snow leopard Tai Lung is headed their way, and it's up to Po to defend everyone from the oncoming threat. Can he turn his dreams of becoming a Kung Fu master into reality? Po puts his heart - and his girth - into the task, and the unlikely hero ultimately finds that his greatest weaknesses turn out to be his greatest strengths."
3130,"Once upon a time, upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures. Unable to explain the strange disappearances and accidents that seem to be happening on a daily basis, the family blames it all on Jared. When he, Simon and Mallory investigate what's really going on, they uncover the fantastic truth of the Spiderwick estate and of the creatures that inhabit it."
3131,"Zack and Miri are two lifelong platonic friends who make an adult film to pay the rent of their apartment. With their friend Delaney, the couple set out for auditionees for their porn film, but in the process of filming, they realize they feel more for each other than they had before."
3132,"Elliot Moore is a high school science teacher who quizzes his class one day about an article in the New York Times. It's about the sudden, mysterious disappearance of bees. Yet again Nature is doing something inexplicable, and whatever science has to say about it will be, in the end, only a theory. Scientists will bring out more theories, but no explanations, when a more urgent dilemma hits the planet. It begins in Central Park. Suddenly and inexplicably, the behavior of everyone in the park changes in a most bizarre and horrible way. Soon, the strange behavior spreads throughout the city and beyond. Elliot, his wife, Alma, and Jess, the young daughter of a friend, will only have theories to guide them where to run and where to hide. But theories may not be enough."
3133,"In Nazi Germany during World War II, as the tide turned in favor of The Allies, a cadre of senior German officers and politicians desperately plot to topple the Nazi regime before the nation is crushed in a near-inevitable defeat. To this end, Colonel Claus von Stauffenberg, an Army officer convinced he must save Germany from Hitler, is recruited to mastermind a real plan. To do so, he arranges for the internal emergency measure, Operation: Valkyrie, to be changed to enable his fellows to seize control of Berlin after the assassination of the Fuhrer. However, even as the plan is put into action, a combination of bad luck and human failings conspire on their own to create a tragedy that would prolong the greater one gripping Europe."
3134,"THE READER opens in post-war Germany when teenager Michael Berg becomes ill and is helped home by Hanna, a stranger twice his age. Michael recovers from scarlet fever and seeks out Hanna to thank her. The two are quickly drawn into a passionate but secretive affair. Michael discovers that Hanna loves being read to and their physical relationship deepens. Hanna is enthralled as Michael reads to her from ""The Odyssey,"" ""Huck Finn"" and ""The Lady with the Little Dog."" Despite their intense bond, Hanna mysteriously disappears one day and Michael is left confused and heartbroken. Eight years later, while Michael is a law student observing the Nazi war crime trials, he is stunned to find Hanna back in his life - this time as a defendant in the courtroom. As Hanna's past is revealed, Michael uncovers a deep secret that will impact both of their lives. THE READER is a story about truth and reconciliation, about how one generation comes to terms with the crimes of another."
3135,"A year has passed by since the Pevensie children stepped through the wardrobe. In Narnia, centuries have passed since the defeat of the White Witch. Now the foursome are sent back to Narnia to find that everything was destroyed and the Narnia they once knew is gone forever. They come to aid the young Prince Caspian, who is leading a group of Old Narnians to wage war against his malicious uncle Miraz, who rules Narnia with an iron fist. Will they succeed? When will Aslan return?"
3136,N/A
3137,"Benjamin Finnegan is a deep-sea treasure hunter certain he's onto the find of the century in waters near an island close to Key West owned by a murderous rap star to whom Ben is in debt. Ben's flat broke and recently divorced from Tess, his long-time research and diving partner whom he still loves. She's nearby, working as a steward aboard the yacht of Nigel Honeycutt, a multimillionaire. The rapper has hired a rival treasurer hunter. Can Ben convince Nigel to bankroll his search, convince Tess to work with him, keep the rapper and his thugs at bay, and find a Spanish treasure hidden for centuries and rich beyond imagination?"
3138,"American Maxwell Smart works for a Government spy agency in an administrative capacity. When the agency's head office is attacked, the Chief decides to assign Maxwell as a spy and partners him with sexy Agent 99, much to her chagrin. The duo nevertheless set off to combat their attackers by first parachuting off an airplane and landing in Russian territory - followed closely by an over seven feet tall, 400 pound goon, known simply as Dalip. The duo, handicapped by Maxwell's antics, will eventually have their identities compromised, and may be chalked up as casualties, while back in America their attackers have already planted a bomb that is set-up to explode in a concert."
3139,"Haunted by a secret, Ben Thomas looks for redemption by radically transforming the lives of seven people he doesn't know. Once his plan is set, nothing will be able to stop him. At least that's what he thinks. But Ben hadn't planned on falling in love with one of these people and she's the one who will end up transforming him."
3140,N/A
3141,"David Rice is a high school student in Ann Arbor, abandoned by his mother at five, living with his callous, alcoholic father, enamored with Millie, a fellow student, and picked on by at least one classmate. On a winter's day, while about to drown, he discovers he can transport himself instantaneously to anyplace on earth. He runs away from home, goes to New York City, robs a bank vault, and comes to the attention of a shadowy group of government hunters. Eight years later, the hunters, led by the murderous Roland, get a fix on David. He heads home, searches out Millie, invites her to travel with him, and only later realizes that Roland and his crew are seriously deadly. Is everyone close to David in danger?"
3142,"Oskar, a bullied 12-year old, dreams of revenge. He falls in love with Eli, a peculiar girl. She can't stand the sun or food and to come into a room she needs to be invited. Eli gives Oskar the strength to hit back but when he realizes that Eli needs to drink other people's blood to live he's faced with a choice. How much can love forgive? Set in the Stockholm suburb of Blackeberg in 1982."
3143,"At his new high school, a rebellious teen Jake Tyler is lured into an ultimate underground fighting club in a Backyard Fight, where he finds a mentor in a mixed martial arts veteran. After receiving threats to the safety of his friends and family, Jake seeks the mentoring of a veteran fighter, to train his mind and body for one final no-holds-barred elimination fight with his unrelenting personal nemesis and local martial arts champion Ryan McCarthy."
3144,"A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne and Mary Boleyn, driven by their family's blind ambition, compete for the love of the handsome and passionate King Henry VIII."
3145,"A lethal virus spreads throughout Scotland, infecting millions and killing hundreds of thousands. To contain the threat, acting authorities brutally quarantine the country as it succumbs to fear and chaos. The quarantine is successful. Three decades later, the Reaper virus violently resurfaces in London. An elite group of specialists, including Eden Sinclair, is urgently dispatched into Scotland to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare."
3146,"Osbourne Cox, a Balkan expert, resigned from the CIA because of a drinking problem, so he begins a memoir. His wife wants a divorce and expects her lover, Harry, a philandering State Department marshal, to leave his wife. A CD-ROM falls out of a gym bag at a Georgetown fitness center. Two employees there try to turn it into cash: Linda, who wants money for cosmetic surgery, and Chad, an amiable goof. Information on the disc leads them to Osbourne who rejects their sales pitch; then they visit the Russian embassy. To sweeten the pot, they decide they need more of Osbourne's secrets. Meanwhile, Linda's boss likes her, and Harry's wife leaves for a book tour. All roads lead to Osbourne's house."
3147,"In 709 AD, in the Iron Age, a spacecraft crashes in the Viking kingdom of Herot, Norway, and the pilot Kainan survives. He turns the beacon on; learns the language and culture of the planet using a machine; and finds that the predator, Moorwen, that he was transporting, had escaped. While chasing the alien monster, he finds a village completely destroyed and is arrested by the warrior Wulfric, believing that he killed the locals - Kainan is brought to Herot as a prisoner."
3148,"Zohan Dvir works as a Special Agent and lives with his orthodox parents in Israel. He wants to give up this life full of dangerous encounters with Palestinians. While in the process of apprehending a Palestinian activist known simply as the Phantom, he fakes his death, hides in a dog-kennel on a plane bound for New York, and decides to try his hand as a hair-stylist. He is refused employment initially, but when he offers to work for free, Dahlia hires him as a cleaner. When a hair-stylist named Debbie quits, Zohan replaces her, winning over elderly female clientèle, and falling in love with Dahlia herself. Before Zohan could propose to her, Dahlia's landlord, Walbridge, who has been raising rents regularly, hires skinhead goons to terrorize the neighborhood, creates misunderstandings between Jews, Muslims, Arabs, and Palestinians, and drives them out, so as to enable him to construct a new building which is topped by a roller coaster. When Zohan decides to confront these skinheads, he does not realize that he is in for quite a few surprises himself."
3149,"Los Angeles, 1928. A single mother returns from work to find her nine-year-old son gone. She calls the LAPD to initiate a search. Five months later, a boy is found in Illinois who fits the description; he says he's her son. To fanfare and photos, the LAPD reunite mother and son, but she insists he's not her boy. The cops dismiss her as either a liar or hysterical. When she joins a minister in his public criticism of the police, they in turn use government power to silence and intimidate her. Meanwhile, a cop goes to a dilapidated ranch to find a Canadian lad who's without legal status; the youth tells a grisly tale. There's redress for murder; is there redress for abuse of power?"
3150,"Business is slow for Terry Leather, a London car dealer, married with children. He's an artful dodger, so Martine, a former model with a thing for him, brings him her scheme: a bank's alarm is off for a couple weeks, so let's tunnel into the vault. He assembles a team, not realizing her real goal is a safe-deposit box with compromising photos of a royal: she needs the photos to trade for avoiding a jail sentence - and MI-5, or is it MI-6, is pulling the strings two steps removed. A Trinidadian thug, a high-end bordello owner, and a pornographer also have things stored in the vault, so the break-in threatens many a powerful personage. Is there any way these amateurs can pull it off?"
3151,"Three years ago, NYPD detective Max Payne's wife and baby were murdered. Max gets himself transferred to the cold case office where he can continue searching for the killer who got away. He's a loner, but two people reach out to him during a fateful week: Alex, his ex-partner who may have found a clue, and BB, the security chief at the pharmaceutical company where Max's wife worked. Meanwhile, bodies are piling up, some as a result of a drug on the street that is highly addictive and, for many who take it, brings hideous hallucinations. When one of the bodies is a woman Payne was the last to see alive, her sister comes looking for him armed to the teeth; Max must move fast."
3152,"Professor Trevor Anderson receives his teenager nephew Sean Anderson. He will spend ten days with his uncle while his mother, Elizabeth, prepares to move to Canada. She gives a box to Trevor that belonged to his missing brother, Max, and Trevor finds a book with references to the last journey of his brother. He decides to follow the steps of Max with Sean and they travel to Iceland, where they meet the guide Hannah Ásgeirsson. While climbing a mountain, there is a thunderstorm and they protect themselves in a cave. However, a lightening collapses the entrance and the trio is trapped in the cave. They seek an exit and falls in a hole, discovering a lost world in the center of the Earth."
3153,"Ian is a high school senior in suburban Chicago, plagued by being a virgin. Online he's inflated his resume, met Ms. Tasty, and agreed to drive to Knoxville where she promises sex. He steals his homophobic, macho brother's GTO, and, with his two best friends, Lance and Felicia, heads south. Every young woman who meets Lance, including Felicia, is attracted to him, as he practices his aptly learned ""Pick-Up Artist"" skills. Ian, on the other hand, is a decent guy who wouldn't mind if his friendship with Felicia became a romance. By the time they get to Knoxville, they have encountered a jealous boyfriend, a menacing hitchhiker, jail birds, carjackers, an Amish community, and Ian's better judgment."
3154,"Made of Honor revolves around Tom and Hannah, who have been platonic friends for 10 years. He's a serial dater, while she wants marriage but hasn't found Mr. Right. Just as Tom is starting to think that he is relationship material after all, Hannah gets engaged. When she asks Tom to be her ""maid"" of honor, he reluctantly agrees just so he can attempt to stop the wedding and woo her."
3155,"In 2012, amid economic chaos and high unemployment, Americans watch by the millions as criminals with life sentences race armored cars on Terminal Island. Two-thirds of the combatants die but the winner may earn his freedom. On the day he loses his job, steelworker Jensen Ames is arrested for his wife's murder. Sent to Terminal Island, he's offered an out by the steely and manipulative Warden Hennessey - race as the popular mask-wearing (but now dead) champion, Frankenstein, or rot in prison. Jensen makes the bargain. As the three-stage race approaches, he realizes that the whole thing may be a set up - can an anonymous man behind a mask get revenge and win his release?"
3156,"Carl Allen is at a standstill. No future... Until the day he enrolls into a personal development program based on a very simple idea: say yes to everything! Carl discovers with amazement the magical power of ""Yes"", and sees his professional and romantic life turned upside down overnight: an unexpected promotion and a new girlfriend. But he'll soon discover that better can be good's enemy, and that all opportunities shouldn't be taken."
3157,"Since Malibu brat Poppy Moore's mom passed away, she has pushed her rich, usually absent dad Gerry shamelessly. When his patience wears out, she's shipped off to her mother's former English boarding school for girls, Abbey Mount. On her first day she makes enemies of most dorm mates, especially dominant lacrosse school captain Harriet, and the school's principal Mrs. Kingsley. Unwilling to accept the strict regime, she decides to misbehave and take the blame for everyone until she's dismissed. The school only appealing feature for her is Kingsley's dashing son Freddie. When the dream prince transfers his favor from ambitious, uptight Harriet to unruly Poppy, that changes everything."
3158,"Bolt, an American white shepherd, has lived his whole life on the set of his action TV show, where he believes he has superpowers. When separated from the studio by accident, he meets a female alley cat named Mittens and a hamster named Rhino. He's trying to find the way home, to the studio. Along the way, he learns that he doesn't have superpowers and that the show is not real."
3159,"Detective Hoffman is deemed hero after he saves a young girl and ""escapes"" one of Jigsaws game, or do it seems. Special Agent Strahm is suspicious of him after his assistant, Agent Perez dies. While Strahm dives into Hoffman's past, a group of 5 people who all helped burn a building which was supposedly abandoned are put to a series of tests, set up by the Jigsaw Killer."
3160,"The Rocker tells the story of a failed drummer who is given a second chance at fame. Robert ""Fish"" Fishman is the extremely dedicated and astoundingly passionate drummer for the eighties hair band Vesuvius, who is living the rock n' roll dream until he is unceremoniously kicked out of the band. Twenty years after his rock star fantasies are destroyed, just when Fish has finally given up all hope, he hears that his nephew's high school rock band A.D.D. is looking for a new drummer. They reluctantly make him the newest member of the band, giving him a chance to reclaim the rock God throne he's always thought he deserved, and taking the young band along for the ride of their lives."
3161,"Using flashbacks from a statement recorded late in life and archival footage for atmosphere, this film traces Harvey Milk's career from his 40th birthday to his death. He leaves the closet and New York, opens a camera shop that becomes the salon for San Francisco's growing gay community, and organizes gays' purchasing power to build political alliances. He runs for office with lover Scott Smith as his campaign manager. Victory finally comes on the same day Dan White wins in the city's conservative district. The rest of the film sketches Milk's relationship with White and the 1978 fight against a statewide initiative to bar gays and their supporters from public school jobs."
3162,"In a near future, the mercenary Toorop is hired by the powerful criminal Gorsky to take a woman named Aurora from a Noelite Convent in Central Asia to New York. In return, he will receive a large amount of money and a clear passport. Toorop joins Aurora and her guardian Sister Rebeka as they cross the dangerous Russian landscape chased by mercenaries that also want Aurora. On their journey, Toorop discovers that Aurora has special abilities and once in New York, they see on the news that the Noelite Convent has just been bombed. When Aurora discloses that she is a virgin and pregnant with twins, Toorop realizes that there is something sinister behind his mission and that he and Sister Rebeka are not part of Gorsky's plans."
3163,"Set in Sin City, story revolves around two people who discover they've gotten married following a night of debauchery, with one of them winning a huge jackpot after playing the other's quarter. Unhappy pair try to undermine each other and get their hands on the money -- falling in love along the way."
3164,"The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human."
3165,"Oliver Stone's biographical take on the life of George W. Bush, one of the most controversial presidents in USA history, chronicling from his wild and carefree days in college, to his military service, to his governorship of Texas and role in the oil business, his 2000 candidacy for president, his first turbulent four years, and his 2004 re-election campaign."
3166,"A prehistoric epic that follows a young mammoth hunter named D'Leh's journey through uncharted territory to secure the future of his tribe. When a band of mysterious horse-riding warlords raid the Yaghal camp and kidnaps his heart's desire - the beautiful Evolet along with many others, D'Leh is forced to lead a small group of hunters south to pursue the warlords to the end of the world to save her. Driven by destiny, the unlikely band of warriors must battle saber-toothed cats and terror birds in the Levant."
3167,"After their wedding, newspaper writers John and Jennifer Grogan move to Florida. In an attempt to stall Jennifer's ""biological clock"", John gives her a puppy. While the puppy Marley grows into a 100 pound dog, he loses none of his puppy energy or rambunctiousness. Meanwhile, Marley gains no self-discipline. Marley's antics give John rich material for his newspaper column. As the Grogans mature and have children of their own, Marley continues to test everyone's patience by acting like the world's most impulsive dog."
3168,"In northern Australia at the beginning of World War II, an English aristocrat inherits a cattle station the size of Maryland. When English cattle barons plot to take her land, she reluctantly joins forces with a rough-hewn stock-man to drive 2,000 head of cattle across hundreds of miles of the country's most unforgiving land, only to still face the bombing of Darwin, Australia, by the Japanese forces that had attacked Pearl Harbor only months earlier."
3169,"The story begins with Speed Racer who is a young man with natural racing instincts whose goal is to win The Crucible, a cross-country car racing rally that took the life of his older brother, Rex Racer. Speed is loyal to the family business, run by his parents Pops and Mom. Pops designed Speed's car, the Mach 5. The owner of Royalton Industries makes Speed a lucrative offer, Speed rejects the offer, angering the owner. Speed also uncovers a secret that top corporate interests, including Royalton, are fixing races and cheating to gain profit. With the offer to Speed denied, Royalton wants to ensure that Speed will not win races. Speed finds support from his parents and his girlfriend Trixie and enters The Crucible in a partnership with his one-time rival, Racer X, seeking to rescue his family's business and the racing sport itself."
3170,"Down these mean streets a man must come. A hero born, murdered, and born again. When a Rookie cop named Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces from the shadows of Central City. The Octopus who kills anyone unfortunate enough to see his face who has other plans. He's going to wipe out the entire city. The Spirit tracks this cold hearted killer from the city's rundown warehouses, to the damp catacombs, to the windswept waterfront all the while facing a bevy of beautiful women who either want to seduce, love or kill the masked crusader."
3171,"On the run and hiding in the deep forests of the then German-occupied Poland and Belorussia (World War II), the four Bielski brothers find the impossible task of foraging for food and weapons for their survival. They live, not only with the fear of discovery, contending with neighboring Soviet partisans and knowing whom to trust but also take the responsibility of looking after a large mass of fleeing Polish Jews from the German war machine. Women, men, children, the elderly and the young alike are all hiding in makeshift homes in the dark, cold and unforgiving forests in the darkest times of German-occupied Eastern Europe."
3172,"Based on a very clever comedy by Claire Booth, wife of Time Publisher Henry Luce and later Ambassador to Italy. One of the surprises was an all-woman cast, novel in the 1930's. And although there were no men in the cast, most of the dialog was about them. The story is rather thin and depended on the fact that divorce, in the 1930's, was not only difficult but almost impossible in New York. Mrs. Stephen Haynes learns that her husband is seeing a salesgirl at Saks, and reluctantly divorces him, abetted by her friends, all of whom have romantic problems of their own. In the 1930's New York women who could afford it went to Nevada, where residency could be established quickly and divorce was relatively easy. The 1939 film, starring Norma Shearer, Paulette Goddard, Rosalind Russell, and Joan Crawford, was a hit. This one, with an even better looking cast, is definitely not, largely because someone tried to move a 1930's situation comedy into the present."
3173,"Jerry Shaw is an amiable slacker with an over-achieving twin brother. After his twin dies in an accident, strange things happen to Jerry at a dizzying pace: a fortune shows up in his bank account, weapons are delivered to his flat, and a voice on his cell phone tells him the police are on their way. Jerry follows the voice's instructions, and soon he and a woman he's never met are racing through the city, on to a plane, and eventually to the Pentagon, chased by the FBI. She is Rachel Holloman, a single mom; the voice has threatened her son's death if she doesn't cooperate. The voice seems to know everything. Who is behind it, what is being planned, and why Jerry and Rachel?"
3174,"The morning they return from their White Castle road trip, Harold and Kumar decide to go to Amsterdam because Harold doesn't want to wait ten days to see Maria again. On the plane, Kumar lights up his new bong, the air marshals think it's a bomb, and Harold and Kumar are arrested as terrorists and sent to Guantanamo Bay. Ordered to fellate a guard, they manage to escape, make their way to Florida, and head for Texas to find Kumar's ex-girlfriend's fiancé, the well-connected Colton, and get him to intercede with Washington on their behalf. Kumar still has a thing for Vanessa, the feds are in hot pursuit, and the legal weed of Amsterdam seems a long way away."
3175,"Theater director Caden Cotard is mounting a new play. Fresh off of a successful production of Death of a Salesman, he has traded in the suburban blue-hairs and regional theater of Schenectady for the cultured audiences and bright footlights of Broadway. Armed with a MacArthur grant and determined to create a piece of brutal realism and honesty, something into which he can put his whole self, he gathers an ensemble cast into a warehouse in Manhattan's theater district. He directs them in a celebration of the mundane, instructing each to live out their constructed lives in a small mock-up of the city outside. As the city inside the warehouse grows, Caden's own life veers wildly off the tracks. The shadow of his ex-wife Adele, a celebrated painter who left him years ago for Germany's art scene, sneers at him from every corner. Somewhere in Berlin, his daughter Olive is growing up under the questionable guidance of Adele's friend, Maria. He's helplessly driving his marriage to actress Claire into the ground. Sammy Barnathan, the actor Caden has hired to play himself within the play, is a bit too perfect for the part, and is making it difficult for Caden to revive his relationship with the alluringly candid Hazel. Meanwhile, his therapist, Madeline Gravis, is better at plugging her best-seller than she is at counselling him. His second daughter, Ariel, is disabled. And a mysterious condition is systematically shutting down each of his autonomic functions, one by one. As the years rapidly pass, Caden buries himself deeper into his masterpiece. Populating the cast and crew with doppelgangers, he steadily blurs the line between the world of the play and that of his own deteriorating reality. As he pushes the limits of his relationships, both personally and professionally, a change in creative direction arrives in Millicent Weems, a celebrated theater actress who may offer Caden the break he needs."
3176,"It's 1964, St. Nicholas in the Bronx. A charismatic priest, Father Flynn, is trying to upend the school's strict customs, which have long been fiercely guarded by Sister Aloysius Beauvier, the iron-gloved Principal who believes in the power of fear-based discipline. The winds of political change are sweeping through the community, and indeed, the school has just accepted its first black student, Donald Miller. But when Sister James, a hopeful innocent, shares with Sister Aloysius her guilt-inducing suspicion that Father Flynn is paying too much personal attention to Donald, Sister Aloysius sets off on a personal crusade to unearth the truth and to expunge Flynn from the school. Now, without a shard of proof besides her moral certainty, Sister Aloysius locks into a battle of wills with Father Flynn which threatens to tear apart the community with irrevocable consequences."
3177,"In New York, the former NYPD detective Ben Carson is hired to work as night watch of the remains of the Mayflower Department Store that was partially destroyed by fire many years ago. Ben became alcoholic and was retired from the police force after killing a man in a shooting. His marriage was also destroyed and now he is living in the apartment of his younger sister Angie. However he has not been drinking for three months and sees the employment as a chance to rebuild his life. When he goes to the rounds in his first night, he finds that the mirrors are impeccably clean and his colleague explains that the former night watch was obsessed with the mirrors. After a couple of nights, Ben sees weird images in the mirrors, but due to the lack of credibility of his past, his ex-wife Amy believes he has hallucinations as a side effect of his medication. When Angie is found brutally murdered in her bathtub, Ben discovers that there is an evil force in the mirror that is chasing him and jeopardizing his family."
3178,"Dr. Helen Benson is summoned to a military facility with several other scientists when an alien spacecraft of sorts arrives in New York City. Aboard is a human-like alien and a giant robot of immense size and power. The alien identifies himself as Klaatu and says he has come to save the Earth. The US military and political authorities see him as a threat however and decide to use so-called intensive interrogation techniques on him but Dr. Benson decides to facilitate his escape. When she learns exactly what he means when he says he is there to save the Earth, she tries to convince him to change his intentions."
3179,"One day, Horton the elephant hears a cry from help coming from a speck of dust. Even though he can't see anyone on the speck, he decides to help it. As it turns out, the speck of dust is home to the Whos, who live in their city of Whoville. Horton agrees to help protect the Whos and their home, but this gives him nothing but torment from his neighbors, who refuse to believe that anything could survive on the speck. Still, Horton stands by the motto that, ""After all, a person is a person, no matter how small."""
3180,"Following the death of her parents, teen-aged Andie West is living with her mother's best friend, Sarah. Andie, who doesn't care about school, is trying to figure out where she fits in in life. The only thing she loves is dancing with her street crew, the 410, led by Tuck. The 410 are the most notorious of the street crews in Baltimore and are wanted by the police for their acts of vandalism and public mischief. Sarah threatens to send Andie to live with relatives in Texas unless she cleans up her act, which includes ending her association with the 410 and trying harder at school. Andie's neighborhood friend, Tyler Gage, convinces Andie to audition for entry into the Maryland School of the Arts (MSA), an institution which ended up turning his life around for the better. Andie passes the audition but isn't sure she fits in there. The school's director, Blake Collins, isn't sure she fits in there either. Blake is a brilliant dancer but looks for conformity to his way. After learning that Andie's absences from rehearsals are due to her new association with MSA, Tuck kicks her out of the 410. Chase Collins, a dance student at MSA, convinces Andie to start her own street dance crew using all the dance misfits from MSA i.e. those that don't conform to Blake's way of thinking. Chase feels like he's one of those misfits being Blake's brother and living in his shadow. This new association brings up a few conflicts within Andie, as her new dance crew tries to gain respect on the streets, especially among her old and judgmental friends, and as she and the crew try to hide the fact of what they're doing from Blake, who ultimately threatens expulsion from the school of anyone participating in the illegal street competitions."
3181,"Will, Lisa, and two of their friends attempt to flee man-made and natural disasters and encounter Batman, Hancock, The Hulk, Indiana Jones, Hannah Montana, Michael Jackson, Beowulf, the Love Guru, Iron Man, rabid chipmunks amongst others in their seemingly vain efforts to seek help and shelter from unknown threats."
3182,"Troy and the gang of East High School are going through their senior year, facing graduating and going their separate ways. Coming to terms with the reality of it all, Troy wants to attend the nearby University of Albuquerque next year on a basketball scholarship, but Gabriella wants to attend Stanford University in California. Meanwhile, Sharpay, the school's shallow and spoiled rich girl, plots to go all out planning the school's final musical show with the idea to add music to her hopes and fears about the future. While Sharpay takes an up-and-coming British exchange student under her wing, her flamboyant fraternal twin brother, Ryan, has his sights set on something different after school. In addition, Troy's best friend and basketball teammate Chad, and Garbiella's best friend Taylor, all have their sights set on their plans after high school and come to terms with the reality of the real world."
3183,"Nim Rusoe is a girl who joins her father, a scientist, when he does research on marine life on an island. It's just the two of them but she spends her time making friends with all the animals she encounters, chatting on the computer and reading the adventure books of Alex Rover. When her father goes to do some research but when a storm strikes the island he doesn't come back, she gets worried and frightened. She then e-mails Alex Rover hoping that he will come but what she doesn't know is that Alex Rover is a woman who is agoraphobic and germaphobic. But her creation comes to life and eggs her to go. Unfortunately she has never gone anywhere before and is denied her necessities like her sanitary gel by the customs officer at the airport. In the meantime, Nim tries to be strong while waiting for Alex to arrive."
3184,N/A
3185,"The sequel to 2005's ""Madagascar"", in which New York Zoo animals, Alex the Lion, Marty the Zebra, Melman the Giraffe and Gloria the Hippo, still stranded on Madagascar, start to leave the island. All of a sudden, they land in the wilderness of Africa, where Alex meets the rest of his family, but has trouble communicating with them after spending so much time at the Central Park Zoo."
3186,"An American teenager who is obsessed with Hong Kong cinema and kung-fu classics makes an extraordinary discovery in a Chinatown pawnshop: the legendary stick weapon of the Chinese sage and warrior, the Monkey King. With the lost relic in hand, the teenager unexpectedly finds himself traveling back to ancient China to join a crew of warriors from martial arts lore on a dangerous quest to free the imprisoned Monkey King."
3187,"A group of friends whose leisurely Mexican holiday takes a turn for the worse when they, along with a fellow tourist, embark on a remote archaeological dig in the jungle where something evil lives among the ruins."
3188,N/A
3189,"LAPD detective Tom Ludlow is a ruthlessly efficient, unorthodox undercover cop. Captain Jack Wander always covers for Tom, as do even his somewhat jealous colleagues. After technically excessive violence against a vicious Korean gang during the liberation of a kidnapped kid sex slave, Tom becomes the target of IA's hotshot, captain James Biggs, who feels passed over after Wander's promotion to chief. Tom's corrupt, disloyal ex-patrol partner Terrence Washington sides with IA but is killed during a shop robbery in Tom's presence."
3190,"Three men, three dreams. It's 1976 in Flint, Michigan. Jackie Moon's American Basketball Association team languishes in last place, with few fans in the seats. Jackie dreams of a merger with the NBA. A tough-minded point guard named Monix is at the end of his career; he's played on the champion Celtics but accepts a trade to Flint to be close to Lynn, the love of his life. Clarence ""Coffee"" Brown dreams of stardom: he's the Tropics' best player, but he's a hotdog who doesn't value teamwork. When the trio learns that a merger is in the works that won't include the Tropics, they pull the team together to try to achieve the impossible. Can dreams come true in Flint?"
